# band 2 — format: w|p|t|ka|ex|e
these|det|grammar|ესენი|These shoes are too small.|
those|det|grammar|ისინი (იქ)|Who are those people?|
its|det|grammar|მისი (საგნის)|The dog is eating its dinner.|
another|det|grammar|კიდევ ერთი|Can I have another cup of tea?|
each|det|grammar|თითოეული|Each room has a bathroom.|
both|det|grammar|ორივე|Both my parents are teachers.|
few|det|grammar|ცოტა|There are few shops in my village.|
most|det|grammar|უმეტესი|Most shops close at nine.|
enough|det|grammar|საკმარისი|We don't have enough chairs.|
someone|pron|grammar|ვიღაც|Someone is knocking at the door.|
anyone|pron|grammar|ვინმე|Does anyone have a pen?|
everyone|pron|grammar|ყველანი|Everyone loves her cooking.|
anything|pron|grammar|რაიმე|Do you need anything from the shop?|
myself|pron|grammar|მე თვითონ|I made this cake myself.|
yourself|pron|grammar|შენ თვითონ|Did you paint this yourself?|
over|prep|grammar|თავზე|There is a lamp over the table.|
through|prep|grammar|გავლით|We drove through the city centre.|
during|prep|time|დროს|Please don't talk during the film.|
without|prep|grammar|გარეშე|I can't live without coffee.|
around|prep|grammar|გარშემო|We walked around the lake.|
behind|prep|grammar|უკან|The garden is behind the house.|
across|prep|grammar|გაღმა|The bank is across the road.|
until|prep|time|-მდე|The shop is open until eight.|
since|prep|time|მას შემდეგ|I have lived here since 2015.|
above|prep|grammar|ზემოთ|Our flat is above a small shop.|
below|prep|grammar|ქვემოთ|The temperature is below zero.|
against|prep|grammar|წინააღმდეგ|I am against this idea.|
into|prep|grammar|-ში (შიგნით)|She put the keys into her bag.|
while|conj|grammar|სანამ|I read while I wait for the bus.|
as|conj|grammar|როგორც|As I said, the shop is closed.|
although|conj|grammar|თუმცა|Although it was cold, we went swimming.|
may|v|grammar|შეიძლება|It may rain later today.|
might|v|grammar|შესაძლოა|I might be a little late.|
ago|adv|time|წინ|I moved here two years ago.|
yet|adv|time|ჯერ|I haven't finished my work yet.|
ever|adv|time|ოდესმე|Have you ever been to Paris?|
even|adv|grammar|-ც კი|Even my grandmother uses a smartphone.|
almost|adv|grammar|თითქმის|Dinner is almost ready.|
maybe|adv|grammar|იქნებ|Maybe we can meet tomorrow.|
quite|adv|grammar|საკმაოდ|The test was quite easy.|
later|adv|time|მოგვიანებით|I'll call you later.|
once|adv|time|ერთხელ|I have been there once.|
tonight|adv|time|ამაღამ|What are you doing tonight?|
usually|adv|time|ჩვეულებრივ|I usually get up at seven.|
already|adv|time|უკვე|I have already eaten.|
away|adv|grammar|მოშორებით|The beach is five minutes away.|
together|adv|grammar|ერთად|Let's go there together.|
quickly|adv|qualities|სწრაფად|Please come here quickly!|
slowly|adv|qualities|ნელა|Please speak more slowly.|
far|adv|grammar|შორს|Is the station far from here?|
early|adv|time|ადრე|I get up early every day.|
late|adv|time|გვიან|The train arrived late.|
outside|adv|places|გარეთ|The children are playing outside.|
inside|adv|places|შიგნით|It is cold, let's go inside.|
probably|adv|grammar|ალბათ|It will probably rain tomorrow.|
actually|adv|grammar|სინამდვილეში|Actually, I don't like coffee.|
however|adv|grammar|თუმცა|The hotel was nice. However, it was expensive.|
zero|num|numbers|ნული|It is zero degrees outside.|0️⃣
eleven|num|numbers|თერთმეტი|Our son is eleven years old.|
twelve|num|numbers|თორმეტი|There are twelve months in a year.|
twenty|num|numbers|ოცი|The bus comes every twenty minutes.|
thousand|num|numbers|ათასი|About a thousand people came to the concert.|
second|num|numbers|მეორე|This is my second cup of coffee.|🥈
third|num|numbers|მესამე|We live on the third floor.|🥉
half|n|numbers|ნახევარი|I'll be there in half an hour.|
become|v|actions|გახდომა|She wants to become a doctor.|
seem|v|actions|ჩანს|You seem tired today.|
mean|v|communication|გულისხმობა|I don't understand what you mean.|
keep|v|actions|შენახვა|I keep my passport in a safe place.|
begin|v|actions|დაწყება|The lesson will begin at ten.|
turn|v|actions|მოხვევა|Turn left at the traffic lights.|
move|v|actions|მოძრაობა|Don't move, I am taking a photo.|
believe|v|feelings|დაჯერება|I can't believe it!|
happen|v|actions|მოხდენა|What will happen if we are late?|
lose|v|actions|დაკარგვა|Don't lose your ticket.|
cook|v|food|საჭმლის მომზადება|My husband likes to cook.|
wash|v|home|რეცხვა|I need to wash my car.|
sell|v|shopping|გაყიდვა|They sell fresh fruit at the market.|
send|v|communication|გაგზავნა|I will send you the photos.|
forget|v|actions|დავიწყება|Don't forget your umbrella.|
remember|v|actions|გახსენება|I can't remember his name.|
finish|v|actions|დამთავრება|I finish work at six.|
change|v|actions|შეცვლა|I need to change my phone number.|
carry|v|actions|ტარება|Can you carry this box?|
drive|v|transport|მანქანის მართვა|My wife can drive very well.|
fly|v|travel|ფრენა|We fly to Rome tomorrow.|
swim|v|sport|ცურვა|The children swim in the lake.|
sing|v|actions|მღერა|She likes to sing in the shower.|
dance|v|actions|ცეკვა|Do you want to dance?|
study|v|school|მეცადინეობა|I study English every evening.|
teach|v|school|სწავლება|I teach English at a school.|
laugh|v|feelings|სიცილი|His jokes always make me laugh.|
cry|v|feelings|ტირილი|The baby started to cry.|
smile|v|feelings|ღიმილი|Smile for the photo!|
win|v|sport|მოგება|I hope our team will win.|
choose|v|actions|არჩევა|It is hard to choose a gift.|
visit|v|travel|მონახულება|We visit my grandmother every Sunday.|
travel|v|travel|მოგზაურობა|I love to travel by train.|
arrive|v|travel|ჩამოსვლა|What time does the plane arrive?|
wear|v|clothes|ჩაცმა|She likes to wear bright colours.|
hope|v|feelings|იმედოვნება|I hope you feel better soon.|
break|v|actions|გატეხვა|Be careful, don't break the glass.|
catch|v|actions|დაჭერა|Try to catch the ball!|
fall|v|actions|დაცემა|Be careful, don't fall!|
grow|v|nature|ზრდა|These plants grow very fast.|
build|v|actions|აშენება|They want to build a new school here.|
stay|v|travel|დარჩენა|We stay at home on Sundays.|
cut|v|actions|დაჭრა|Cut the bread, please.|
draw|v|actions|ხატვა|My son likes to draw animals.|
die|v|nature|სიკვდილი|Plants die without water.|
spend|v|money|დახარჯვა|I spend too much money on clothes.|
add|v|actions|დამატება|Add some salt to the soup.|
allow|v|actions|ნების დართვა|My parents don't allow me to stay out late.|
pull|v|actions|მოქაჩვა|Pull the door to open it.|
push|v|actions|მიწოლა|Push the door hard, it is heavy.|
return|v|travel|დაბრუნება|We will return on Monday.|
explain|v|communication|ახსნა|Can you explain this rule?|
decide|v|actions|გადაწყვეტა|I can't decide what to wear.|
agree|v|communication|დათანხმება|I agree with you.|
hold|v|actions|ხელში ჭერა|Can you hold my bag for a minute?|
follow|v|actions|გაყოლა|Please follow me to your room.|
enjoy|v|feelings|სიამოვნების მიღება|I enjoy cooking for my friends.|
hate|v|feelings|სიძულვილი|I hate waiting in queues.|
prefer|v|feelings|ურჩევნია|I prefer tea to coffee.|
miss|v|feelings|მონატრება|I miss you so much.|
worry|v|feelings|ღელვა|Don't worry, everything will be fine.|
hurry|v|actions|აჩქარება|Hurry up, the train is leaving!|
rest|v|health|დასვენება|I need to rest for an hour.|
wake|v|home|გაღვიძება|Please wake me at seven.|
relax|v|feelings|განტვირთვა|I like to relax with a good book.|
invite|v|people|დაპატიჟება|We want to invite you to dinner.|
order|v|food|შეკვეთა|Are you ready to order?|
check|v|actions|შემოწმება|Please check your answers.|
fix|v|home|შეკეთება|Can you fix my bike?|
share|v|actions|გაზიარება|Can you share the photos with me?|
save|v|money|დაზოგვა|I want to save money for a car.|
count|v|numbers|დათვლა|Can you count to ten in English?|
practise|v|school|ვარჯიში|I practise English every day.|
jump|v|sport|ხტომა|The children like to jump on the bed.|
throw|v|actions|გადაგდება|Throw the ball to me!|
fill|v|actions|ავსება|Please fill the glass with water.|
ride|v|sport|ჯირითი|My daughter can ride a horse.|
cost|v|money|ღირება|How much does this shirt cost?|
shout|v|communication|ყვირილი|Please don't shout, the baby is sleeping.|
hurt|v|health|ტკენა|Be careful, you might hurt yourself.|
kiss|v|feelings|კოცნა|Kiss your grandmother goodbye.|
mum|n|family|დედა|Mum, where are my socks?|
dad|n|family|მამა|My dad makes the best pancakes.|
parent|n|family|მშობელი|Every parent wants the best for their child.|
grandmother|n|family|ბებია|My grandmother is eighty years old.|👵
grandfather|n|family|ბაბუა|My grandfather tells great stories.|👴
uncle|n|family|ბიძა|My uncle lives in Kutaisi.|
aunt|n|family|დეიდა, მამიდა|My aunt is a nurse.|
neighbour|n|people|მეზობელი|Our neighbour has a big dog.|
body|n|body|სხეული|Exercise is good for your body.|
heart|n|body|გული|My heart is beating fast.|❤️
nose|n|body|ცხვირი|I have a cold and my nose is red.|👃
ear|n|body|ყური|My left ear hurts.|👂
tooth|n|body|კბილი|My tooth hurts, I need a dentist.|🦷
arm|n|body|მკლავი|He has a tattoo on his arm.|💪
foot|n|body|ტერფი|My foot hurts after the long walk.|🦶
finger|n|body|თითი|She has a ring on her finger.|
bathroom|n|home|სააბაზანო|The bathroom is next to the bedroom.|
bedroom|n|home|საძინებელი|The bedroom is very quiet.|
garden|n|home|ბაღი|We grow tomatoes in our garden.|
floor|n|home|იატაკი|The floor is wet, be careful.|
wall|n|home|კედელი|There is a clock on the wall.|🧱
key|n|home|გასაღები|I can't find my car key.|🔑
box|n|home|ყუთი|Put the books in this box.|📦
bag|n|shopping|ჩანთა|My bag is very heavy.|👜
cup|n|home|ფინჯანი|Would you like a cup of coffee?|☕
glass|n|home|ჭიქა|Be careful, that glass is full.|🥃
plate|n|home|თეფში|Put the plate in the sink.|🍽️
bottle|n|food|ბოთლი|Take a bottle of water with you.|🍾
knife|n|home|დანა|Be careful with that sharp knife.|🔪
spoon|n|home|კოვზი|I need a spoon for my soup.|🥄
fork|n|home|ჩანგალი|Can I have a fork, please?|🍴
clock|n|home|საათი (კედლის)|The clock on the wall is slow.|🕐
picture|n|home|სურათი|There is a picture of my family on the wall.|🖼️
light|n|home|შუქი|Please turn on the light.|💡
television|n|technology|ტელევიზორი|We don't have a television.|📺
flat|n|home|ბინა|We rent a small flat in the centre.|
fruit|n|food|ხილი|I eat a lot of fruit.|🍏
vegetable|n|food|ბოსტნეული|Which vegetable do you like best?|🥦
cheese|n|food|ყველი|Georgian cheese is delicious.|🧀
rice|n|food|ბრინჯი|We had chicken with rice.|🍚
sugar|n|food|შაქარი|No sugar for me, thanks.|
salt|n|food|მარილი|This soup needs more salt.|🧂
chicken|n|food|ქათამი|Let's have roast chicken tonight.|🍗
potato|n|food|კარტოფილი|I'd like a baked potato, please.|🥔
tomato|n|food|პომიდორი|Slice the tomato for the salad.|🍅
orange|n|food|ფორთოხალი|I have an orange every morning.|🍊
