# band 4 (part a: function words, adverbs, verbs, adjectives) — format: w|p|t|ka|ex|e
hardly|adv|grammar|ძლივს|I can hardly hear you.|
mostly|adv|grammar|ძირითადად|The students are mostly from Tbilisi.|
rather|adv|grammar|საკმაოდ|The exam was rather difficult.|
badly|adv|qualities|ცუდად|I slept badly last night.|
seriously|adv|qualities|სერიოზულად|Please take this seriously.|
forward|adv|grammar|წინ|Take one step forward.|
straight|adv|grammar|პირდაპირ|Go straight on and then turn left.|
therefore|adv|grammar|შესაბამისად|The road was closed and therefore we were late.|
otherwise|adv|grammar|თორემ|Hurry up, otherwise we will miss the train.|
indeed|adv|grammar|მართლაც|It was indeed a great party.|
directly|adv|grammar|უშუალოდ|You can pay the driver directly.|
properly|adv|qualities|სათანადოდ|Please close the door properly.|
honestly|adv|communication|გულწრფელად|Honestly, I don't like this film.|
definitely|adv|grammar|ნამდვილად|I will definitely call you tomorrow.|
absolutely|adv|grammar|აბსოლუტურად|You are absolutely right.|
totally|adv|grammar|მთლიანად|I totally agree with you.|
normally|adv|time|როგორც წესი|Normally I walk to work.|
mainly|adv|grammar|უმთავრესად|We mainly eat fish and vegetables.|
extremely|adv|grammar|უკიდურესად|It is extremely hot today.|
hopefully|adv|feelings|იმედია|Hopefully, the weather will be nice.|
obviously|adv|grammar|აშკარად|Obviously, he was very tired.|
anymore|adv|time|აღარ|I don't live there anymore.|
itself|pron|grammar|თავად (საგანი)|The house itself is small, but the garden is big.|
ourselves|pron|grammar|ჩვენ თვითონ|We painted the flat ourselves.|
whatever|pron|grammar|ნებისმიერი რამ|Eat whatever you want.|
nobody|pron|grammar|არავინ|Nobody answered the phone.|
despite|prep|grammar|მიუხედავად|We went out despite the rain.|
within|prep|time|განმავლობაში|Please reply within two days.|
beyond|prep|grammar|მიღმა|There is a village beyond the hills.|
billion|num|numbers|მილიარდი|There are about eight billion people in the world.|
provide|v|actions|უზრუნველყოფა|The hotel will provide towels.|
require|v|actions|მოთხოვნა|Most jobs require some experience.|
involve|v|actions|ჩათრევა|Don't involve the children in your problems.|
consider|v|actions|გათვალისწინება|Please consider the cost before you decide.|
suppose|v|actions|ვარაუდი|I suppose you are right.|
