# band 3 (part b: nouns) — format: w|p|t|ka|ex|e
adult|n|people|ზრდასრული|Tickets cost ten lari for an adult.|
teenager|n|people|მოზარდი|My daughter is a teenager now.|
lady|n|people|ქალბატონი|Ask the lady at the desk.|
stranger|n|people|უცნობი|A stranger asked me for directions.|
king|n|society|მეფე|The king lived in this castle.|🤴
queen|n|society|დედოფალი|The queen visited the city last year.|👸
president|n|society|პრეზიდენტი|The president will speak on TV tonight.|
member|n|society|წევრი|She is a member of our club.|
leader|n|work|ლიდერი|He is the leader of the team.|
worker|n|work|მუშა|Every worker gets a lunch break.|
manager|n|work|მენეჯერი|I would like to speak to the manager.|
farmer|n|work|ფერმერი|The farmer grows potatoes and onions.|
waiter|n|work|მიმტანი|The waiter brought us the menu.|
artist|n|work|მხატვარი|She is a famous artist.|
writer|n|work|მწერალი|He is my favourite writer.|
singer|n|work|მომღერალი|She is a very good singer.|🎤
actor|n|work|მსახიობი|He wants to be an actor.|
player|n|sport|მოთამაშე|He is the best player on the team.|
customer|n|shopping|მყიდველი|The customer asked for a receipt.|
tourist|n|travel|ტურისტი|Every tourist should try Georgian food.|
couple|n|family|წყვილი|They are a lovely couple.|
wedding|n|family|ქორწილი|We are going to a wedding on Saturday.|💒
neck|n|body|კისერი|My neck hurts from sitting at the computer.|
shoulder|n|body|მხარი|He put his hand on my shoulder.|
stomach|n|body|კუჭი|My stomach hurts after dinner.|
skin|n|body|კანი|Use sun cream to protect your skin.|
brain|n|body|ტვინი|Reading is good for your brain.|🧠
blood|n|body|სისხლი|The nurse took a blood test.|
voice|n|body|ხმა|She has a beautiful voice.|
weight|n|health|წონა|I want to lose some weight.|
health|n|health|ჯანმრთელობა|Smoking is bad for your health.|
illness|n|health|ავადმყოფობა|He missed work because of illness.|
pain|n|health|ტკივილი|I have a pain in my back.|
headache|n|health|თავის ტკივილი|I have a terrible headache.|
accident|n|transport|ავარია|There was an accident on the main road.|
exercise|n|health|ვარჯიში|Regular exercise is good for you.|
temperature|n|weather|ტემპერატურა|The temperature will drop tonight.|🌡️
flu|n|health|გრიპი|I had the flu last week.|🤧
address|n|home|მისამართი|What is your email address?|
roof|n|home|სახურავი|There is a cat on the roof.|
mirror|n|home|სარკე|Look at yourself in the mirror.|
soap|n|home|საპონი|Wash your hands with soap.|🧼
bath|n|home|აბაზანა|I like to take a hot bath.|🛁
towel|n|home|პირსახოცი|Can I have a clean towel?|
furniture|n|home|ავეჯი|We need new furniture for the flat.|
shelf|n|home|თარო|Put the books on the shelf.|
gate|n|home|ჭიშკარი|Please close the gate behind you.|
rubbish|n|home|ნაგავი|Please take out the rubbish.|🗑️
blanket|n|home|საბანი|It is cold, I need another blanket.|
honey|n|food|თაფლი|I put honey in my tea.|🍯
oil|n|food|ზეთი|Fry the eggs in olive oil.|
lemon|n|food|ლიმონი|Tea with lemon, please.|🍋
pepper|n|food|პილპილი|Add salt and pepper to taste.|
